path,bytes,sha256,origin,mutable
sources/original/HyperOS-expanded-tree/docs/AgentOS.md,23319,b645dc944065c3d5474b1b27830ebe2eb8cffdd2ca4227af3de8a4e3b88d19ba,user supplied,no
sources/original/HyperOS-expanded-tree/docs/Naming /naming-decision.md,3743,40a0aae37d2ed11604554fcbdcf8e6dcefd04ff00e14b18bd5da17c53b29e99c,user supplied,no
sources/original/HyperOS-expanded-tree/docs/Naming /naming-playbook.md,15278,2f7d32fe8011c4e216f36e37f59d6b031e8b10f0cda6656092bd4840f2aa9cee,user supplied,no
sources/original/HyperOS-expanded-tree/docs/Naming /naming-round3-basis-bone-rome.md,11601,29c3b94529c6c4410fb3ac4c863e0f121729347292cc5b3c4309276c8a6eb664,user supplied,no
sources/original/HyperOS-expanded-tree/docs/Naming /naming-round4-final.md,11368,9fe479a2f771db25da809ff80db1c1c10e36848face7db638d4f365b3c190eaa,user supplied,no
sources/original/HyperOS-expanded-tree/docs/Naming /naming-round5-math-philosophy.md,8358,ee03725b8a2121a126bb5fa8429cfa52fd2f4ed1019cb5f9ea3181b231b2e788,user supplied,no
sources/original/HyperOS-expanded-tree/docs/agent-os-wider-lens.md,18938,788c54981b0a5f4ccfd3ad0889cc3026c8303718dc1105898a8b73ad24a9e76b,user supplied,no
sources/original/HyperOS-expanded-tree/docs/custom-os-fuchsia-like.pdf,611810,143b529f895f6a5b73457309e9f2fe37ed147fca47cf05091a5173d512bc8b16,user supplied,no
sources/original/HyperOS-expanded-tree/docs/ios-vs-android-vs-agent-os.md,42906,4dcb489a30d8588ea978ed719d854f47f063852d0fd072b0b9e310c3cbf48a85,user supplied,no
sources/original/HyperOS-expanded-tree/docs/prior-art-atlas.md,19211,685c337091f5201fc6bb9d485718d64116b4188c907c3d5faf82e14e8aca5941,user supplied,no
sources/original/HyperOS-expanded-tree/fuchsia-os-guide-ru.pdf,287520,fc61253bbf80111ef0b0decb1b48223cde070fc5961e6b655c4f38c82bc0cdfd,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/000-system-overview.md,4625,8862066634cc73ef87c03765ad9eba26c71d17cc152dcef8ddf8c476ff5e63f8,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/001-bootstrap-toolchain.md,5207,3422a28f070a06248a141b4f4aaf0a416a45dff5df4fd50c7dd96513de421c23,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/005-source-session-assignment.md,5565,1a03ccf223ca05f66082cb98fc7a12e0ac33a4e43c3358284eb898c9f8e60740,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/010-kernel-primitives.md,3543,be16e715aa63ffb00cb0af1a0603c8d1d99d13087a1246bd493f5cf79cb6f808,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/020-capability-ipc.md,3210,d39f7ad30bf07ba26517bb8d376bc697da039dd7ca381775ad9c3c29147df892,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/030-pixel9-simulator.md,4056,27c165d860a00114fef0b9a2bf01657df12844857664743dd70ea9ba56077818,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/040-ui-composition.md,3092,bf19d2c6296c758dea3c0dedc7c5f885e8b2ae21c9af2e8b2b31a462dadf9030,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/050-real-device-operation.md,7836,00d3f98799ea0eb365321cb56f5613a81eed2c1c14d499f94ec547f8b94a58d4,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/hyperos-spec-digest-product-architecture.md,13409,44610ad1c6498e5b3b7f582c6fa1b6a08f72e384c8589b004acb9289f46c8a29,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/source-session-claude-937d083b-4513-4dc4-84f3-578242ea1a46/INDEX.md,1953,7d936f63426d03756739d8d0a0172f6ef05d40de42a695a66f0128202bf4c5bb,user supplied,no
sources/original/HyperOS-expanded-tree/implementation/source-session-claude-937d083b-4513-4dc4-84f3-578242ea1a46/assignments/user-brief.md,2102,f81ccbb8c90f4c2127c941f85420f9e6e4de621b7a55360ba46e2e624681f65f,user supplied,no
